timestamp;uid;eventCategory;eventAction;eventLabel
2021-05-20T08:17:54.273+07:00;706078445.1602511410;1st_step;menu_tab;"все списки 50skidka_goroda email_авторы29.12.2018 email_авторы_work5_06.11.2018 hh petrozavodsk_20190129 test_11-2020 Winort авторы_0510 Авторы 17.11 #Авторы 1906 Авторы 1 группа Авторы_2018-06-05 Авторы 26.12 Авторы 27.10 Авторы 28.03.2018 актуальная_work5_08.02.2021 База MF и MP Бонусы Временный список 1 Все авторы Для studify для рекдактирования Екатеринбург Клиенты (автоматическое) Клиенты из Кемерово 26.07.2017 Клиенты иркутск Краснодар 12.08.2019 москва 11.01.2019 Новые статусы Омск Пенза Рассылка ""Возвращение старых авторов"" рассылка самозанятым Самара Санкт-Петербург 07,08,2019 Статус: в обработке Статус ""Отмена"" 11.17 Телефоны 2000 адресов Телефоны Последний год >1 заказа Тест1 Тест2 ТЕСТ 2 (приведи друга) Уточнение заказа 26.04.2018 Хабаровск Шаблоны писем для лендинга student"
2021-05-20T08:17:55.298+07:00;706078445.1602511410;1st_step;menu_tab;"все списки 50skidka_goroda email_авторы29.12.2018 email_авторы_work5_06.11.2018 hh petrozavodsk_20190129 test_11-2020 Winort авторы_0510 Авторы 17.11 #Авторы 1906 Авторы 1 группа Авторы_2018-06-05 Авторы 26.12 Авторы 27.10 Авторы 28.03.2018 актуальная_work5_08.02.2021 База MF и MP Бонусы Временный список 1 Все авторы Для studify для рекдактирования Екатеринбург Клиенты (автоматическое) Клиенты из Кемерово 26.07.2017 Клиенты иркутск Краснодар 12.08.2019 москва 11.01.2019 Новые статусы Омск Пенза Рассылка ""Возвращение старых авторов"" рассылка самозанятым Самара Санкт-Петербург 07,08,2019 Статус: в обработке Статус ""Отмена"" 11.17 Телефоны 2000 адресов Телефоны Последний год >1 заказа Тест1 Тест2 ТЕСТ 2 (приведи друга) Уточнение заказа 26.04.2018 Хабаровск Шаблоны писем для лендинга student"
2021-05-20T21:43:11.971+03:00;706078445.1602511410;2nd_step;editor;save
2021-05-20T21:45:32.91+03:00;706078445.1602511410;2nd_step;editor;save
2021-05-20T21:45:36.957+03:00;706078445.1602511410;2nd_step;editor;save
2021-05-20T21:47:57.669+03:00;706078445.1602511410;navigationHeader;click;btn_toggleUserMenu
2021-05-20T21:47:59.487+03:00;706078445.1602511410;navigationHeader;click;btn_logOut
2021-05-20T21:48:14.61+03:00;706078445.1602511410;navigationAside;click;link_navigationCampaigns
2021-05-20T21:48:19.306+03:00;706078445.1602511410;reports;report_dropdown_menu;Открыть превью письма
2021-05-21T21:43:11.971+03:00;706078445.1602511410;2nd_step;editor;save
2021-05-21T21:45:32.91+03:00;706078445.1602511410;2nd_step;editor;save
2021-05-21T21:45:36.957+03:00;706078445.1602511410;2nd_step;editor;save
2021-05-21T21:47:57.669+03:00;706078445.1602511410;navigationHeader;click;btn_toggleUserMenu
2021-05-21T21:47:59.487+03:00;706078445.1602511410;navigationHeader;click;btn_logOut
2021-05-21T21:48:14.61+03:00;706078445.1602511410;navigationAside;click;link_navigationCampaigns
2021-05-21T21:48:19.306+03:00;706078445.1602511410;reports;report_dropdown_menu;Открыть превью письма
